,"Demo Company d.o.o.",,,
,"76100 Brčko, Brod bb",,,
,JIB: 4600471110010   PDV: 600471110002,,,
,žiro-račun: ,,,
,Spisak partnera po mjestima,,,
SIFRA,NAZIV,ADRESA,MJESTO,ID
16,AGROKOMBINAT  d.o.o. BANJA LUKA,Nikole Pašića 133,Trn - Laktaši,
35,AKGOZ LOJISTIK,MELIKGAZI,KAYSERI,0000000000
58,ARCOM CHEMIN DES CANAUX,FRANCUSKA,Caissargues,0000000000
36,AYDIN TEKSTIL,BASAKSEHIR,ISTANBUL,0000000000
20,BADŽO COM DOO,Poduzetnička zona Dusine broj 9,Orašje,4254137170007
31,BIBTEX Co. TUZLA,"Industrijska zona ""Bosanska poljana bb""","Tuzla,Husino",4209305430006
47,BOGAZICI BORU,,ISTANBUL,
37,BOYCELIK METAL,MELIKGAZI,KAYSERI,000000000
12,BPS D.O.O.,Ugljevik br. 37,Ugljevik,
25,CEDIX DOO,16 Muslimanska br. 9,Gradačac,4209172020004
17,DAVIS FABRICS BH d.o.o.,Sprečki pravac bb,Živinice,4210376640000
46,DEMSAS METAL,SILIVRI,ISTANBUL,
23,DOBRA TR d.o.o.,"203 Brigade br 88, Matuzići",Doboj Jug,4218830340009
54,DOO 26. OKTOBAR,HAJDUK VELJKOVA 11,NOVI SAD,
39,DOO FRIC,D. Dobošnica,Tuzla,4209380130000
52,DURAK TEKSTIL,BURSA,BURSA,0000000
50,EL-EL NAMJEŠTAJ,"Centar 26, Tarevci",Modriča,
57,FACULTAS d.o.o.,Brka bb,Brčko,4600397120009
29,FIRINCI,MELIKGAZI,KAYSERI,00000000000
2,First Point d.o.o Brčko Distrikt BIH,Brod bb,Brčko Distrikt BiH,4600470570000
27,FORM SUNGER VE YATAK,MELIKGAZI,KAYSERI,00000000000
26,GIZ GRUP,BAYRAMPASA,ISTANBUL,000000000000
51,GUN GUVEN CIVATA,BEYLIKDUZU,ISTANBUL,0000000000
34,HASPLAST PLASTIK VE AMBALAJ,MELIKGAZI,KAYSERI,0000000000
60,"IBRAHIMOVIĆ COMPANY DOO
IBRAHIMOVIĆ COMPANY doo",BARE BB STJEPAN POLJE,GRAČANICA,4210315930005
38,INTERIO REPRO d.o.o.,Žarkovina bb,Teslić,4404670840008
28,KENT KARGO,MELIKGAZI,KAYSERI,0000000000000
49,KOZA,,ISTANBUL,
18,LASTRA D.O.O.,Ograđenovac bb,Brčko,4600542740002
33,LEPTON KIMYA,MELIKGAZI,KAYSERI,00000000
21,MERIDIAN a.d.,"Majevičkih brigada, kvart 52",Bijeljina,4400964260004
41,MI GARANT doo,Jovana Dučića 11,Prnjavor,
5,MMD-PROM D.O.O.,Tržnica Arizona br. L/06-2003 broj 43,Brčko,4600242350008
48,MODELO YATAK,,ISTANBUL,
9,MODIMEX d.o.o. Mostar,Opine bb,Mostar,4227366800009
6,MONTENEGROS DOO,SRPSKE SLOGE 46,Rogatica,4400236070002
15,MTTC d.o.o.,Ul. Branilaca grada bb,GRAČANICA,4209925060004
3,NEEA HOME d.o.o.,Brod bb,Brčko,4600466200001
55,NEIMAX d.o.o.,Radinovići bb,Visoko,4218233410004
11,NENO d.o.o.,Krajiška bb,Teslić,4401294130003
32,NOVAK d.o.o.,Dejtonska br. 174,Brčko,4600-3811-20009
22,NUMAN POLAT,BAHCELIEVLER,ISTANBUL,0000000000000
24,ORGANIKA BH d.o.o.,Višnjik 34c,Sarajevo,200888420006
59,OZDEMIR MALZEMECILIK,MIMARSINAN,KAYSERI,00000000
10,DEMO COMPANY D.O.O.,Mostarska 251 A,Brčko,4600471110002
1,"Demo Company d.o.o.",Brod bb,Brčko,4600471110010
7,POZAMANTERIJA DOO,PAVLOVICA PUT 10,Bijeljina,4402201430009
40,RADELJIĆ CO sp,Bisici 15a,Petrovo,4509781090004
44,ROSHA CRAFT INDUSTRIE - ROSHA RUČNI RAD INDUSTRIA d.o.o.,Pećigrad bb,Cazin,
4,SALOPEK NAMJEŠTAJ DOO,Gorjani 247,Ivankovo,62858837633
45,SEMEL-AB d.o.o.,Ljubače do broja 207,Tuzla,4210327510001
13,SPONG Z.R. Šamac,Cara Dušana 46,Šamac,4510907130005
14,TISAKOMERC d.o.o.,Donja Golubinja bb,Žepče,4218138690008
56,TOMIĆ DRAŽAN,ZSCHOKKESTRASE 41,MUNCHEN,1201978180042
43,TTM TIMBER TRADING & MANUFACTURING,Doborovci bb,GRAČANICA,4210160550006
30,TURPAN,MELIKGAZI,KAYSERI,000000000000
19,VEB d.o.o.,Malezijski put bb,Brod,4600045520007
42,VELE-FAH d.o.o.,Šepići bb,Cazin,
53,ZAHAREX,"Magistralni put bb, Špionica",Srebrenik,4209200330006
8,ZG Trade d.o.o.,Marije Jurić Zagorke 7,Brčko,4600547030003
